Timestamp,Source IP,Destination IP,packet length,protocol
1682190856.526160000,216.58.212.1,192.168.100.5,62,TCP
1682190856.526160000,216.58.212.1,192.168.100.5,657,QUIC
1682190856.526160000,216.58.212.1,192.168.100.5,166,QUIC
1682190856.526160000,216.58.212.1,192.168.100.5,62,TCP
1682190856.526201000,192.168.100.5,216.58.212.1,54,TCP
1682190856.526259000,192.168.100.5,216.58.212.1,54,TCP
1682190856.527322000,216.58.212.1,192.168.100.5,62,TCP
1682190856.527372000,192.168.100.5,216.58.212.1,54,TCP
1682190856.527631000,192.168.100.5,216.58.212.1,571,TLS
1682190856.529266000,192.168.100.5,216.58.212.1,75,QUIC
1682190856.531111000,192.168.100.5,216.58.212.1,571,TLS
1682190856.531505000,216.58.212.1,192.168.100.5,77,QUIC
1682190856.532348000,216.58.212.1,192.168.100.5,1395,QUIC
1682190856.532569000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.532961000,192.168.100.5,216.58.212.1,571,TLS
1682190856.533024000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.533024000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.534272000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.534511000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.534790000,192.168.100.5,216.58.212.1,571,TLS
1682190856.535201000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.535872000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.535872000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.535872000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.536395000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.536729000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.536793000,192.168.100.5,216.58.212.1,571,TLS
1682190856.537140000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.537140000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.537428000,192.168.100.5,216.58.212.1,78,QUIC
1682190856.538259000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.538577000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.538698000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.538857000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.539361000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.539477000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.539658000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.539658000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.539786000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.540500000,216.58.212.1,192.168.100.5,54,TCP
1682190856.540723000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.541076000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.541076000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.541195000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.541771000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.542062000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.542157000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.542287000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.542866000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.542969000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.543206000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.543749000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.543831000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.544417000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.544732000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.544828000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.544971000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.544971000,216.58.212.1,192.168.100.5,54,TCP
1682190856.546274000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.546392000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.546402000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.547110000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.547110000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.547110000,216.58.212.1,192.168.100.5,54,TCP
1682190856.547207000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.547296000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.547811000,216.58.212.1,192.168.100.5,952,QUIC
1682190856.547811000,216.58.212.1,192.168.100.5,54,TCP
1682190856.547990000,192.168.100.5,216.58.212.1,73,QUIC
1682190856.549781000,216.58.212.1,192.168.100.5,54,TCP
1682190856.552304000,23.50.184.71,192.168.100.5,56,TCP
1682190856.554034000,23.50.184.71,192.168.100.5,344,TLS
1682190856.555115000,192.168.100.5,23.50.184.71,583,TLS
1682190856.573704000,216.58.212.1,192.168.100.5,69,QUIC
1682190856.575620000,216.58.212.1,192.168.100.5,2878,TLS
1682190856.575767000,192.168.100.5,216.58.212.1,54,TCP
1682190856.577372000,216.58.212.1,192.168.100.5,4290,TCP
1682190856.577372000,216.58.212.1,192.168.100.5,1275,TLS
1682190856.577536000,192.168.100.5,216.58.212.1,54,TCP
1682190856.580175000,216.58.212.1,192.168.100.5,1466,TLS
1682190856.580632000,216.58.212.1,192.168.100.5,1466,TCP
1682190856.580724000,192.168.100.5,216.58.212.1,54,TCP
1682190856.581580000,216.58.212.1,192.168.100.5,4290,TCP
1682190856.581580000,216.58.212.1,192.168.100.5,1275,TLS
1682190856.581772000,192.168.100.5,216.58.212.1,54,TCP
1682190856.583430000,216.58.212.1,192.168.100.5,7114,TLS
1682190856.583430000,216.58.212.1,192.168.100.5,7114,TLS
1682190856.583430000,216.58.212.1,192.168.100.5,1274,TLS
1682190856.583430000,216.58.212.1,192.168.100.5,1275,TLS
1682190856.583844000,192.168.100.5,216.58.212.1,54,TCP
1682190856.584003000,192.168.100.5,216.58.212.1,54,TCP
1682190856.586154000,216.58.212.1,192.168.100.5,7114,TLS
1682190856.586154000,216.58.212.1,192.168.100.5,1276,TLS
1682190856.586402000,192.168.100.5,216.58.212.1,54,TCP
1682190856.614781000,23.50.184.71,192.168.100.5,56,TCP
1682190856.622028000,23.50.184.71,192.168.100.5,401,TLS
1682190856.665361000,192.168.100.5,216.58.212.1,118,TLS
